,image,label
127,"[[[ 17  16  28]
  [ 18  19  30]
  [ 18  19  29]
  ...
  [ 21  23  47]
  [ 21  23  47]
  [ 21  23  48]]

 [[ 17  17  27]
  [ 18  19  29]
  [ 20  19  30]
  ...
  [ 21  24  46]
  [ 22  23  48]
  [ 20  24  48]]

 [[ 17  16  27]
  [ 18  19  29]
  [ 19  19  29]
  ...
  [ 20  24  47]
  [ 21  24  48]
  [ 20  23  46]]

 ...

 [[164 152 138]
  [165 154 140]
  [164 152 138]
  ...
  [ 58  31  49]
  [ 61  31  50]
  [ 58  30  50]]

 [[104  91  79]
  [ 97  84  74]
  [ 90  78  70]
  ...
  [ 58  31  50]
  [ 57  30  51]
  [ 57  30  50]]

 [[ 46  38  41]
  [ 42  35  39]
  [ 39  33  38]
  ...
  [ 59  31  51]
  [ 55  30  51]
  [ 57  30  50]]]",1
128,"[[[ 29  29  35]
  [ 27  27  33]
  [ 27  27  33]
  ...
  [ 28  24  22]
  [ 25  28  28]
  [ 32  38  47]]

 [[ 35  35  41]
  [ 33  33  39]
  [ 34  34  40]
  ...
  [105 106 114]
  [109 115 122]
  [100 109 118]]

 [[ 34  33  42]
  [ 41  40  49]
  [ 43  42  51]
  ...
  [172 181 192]
  [176 186 197]
  [162 170 186]]

 ...

 [[  7   9   9]
  [ 87  98 106]
  [107 116 118]
  ...
  [171 148 126]
  [160 138 119]
  [134 127 121]]

 [[  5   7   7]
  [ 85  93 100]
  [ 97 108 108]
  ...
  [184 161 143]
  [172 149 134]
  [128 129 125]]

 [[ 62  63  67]
  [111 114 118]
  [125 130 132]
  ...
  [179 153 139]
  [163 144 129]
  [120 122 123]]]",1
129,"[[[56 57 23]
  [52 55 19]
  [43 53 17]
  ...
  [57 72 26]
  [54 64 24]
  [48 63 22]]

 [[56 61 23]
  [51 56 23]
  [40 53 19]
  ...
  [50 67 23]
  [51 70 26]
  [54 71 26]]

 [[53 64 22]
  [63 76 29]
  [47 75 23]
  ...
  [58 69 26]
  [54 73 28]
  [53 76 31]]

 ...

 [[30 49 15]
  [34 42 14]
  [51 62 24]
  ...
  [34 45 13]
  [33 48 13]
  [34 58 16]]

 [[30 49 15]
  [37 62 19]
  [55 67 24]
  ...
  [30 40 12]
  [32 42 12]
  [28 47 11]]

 [[29 45 13]
  [35 59 14]
  [47 74 25]
  ...
  [32 39 10]
  [26 37  9]
  [22 37 10]]]",0
130,"[[[ 23  39  13]
  [ 29  45  12]
  [ 42  42  23]
  ...
  [ 41  61  15]
  [ 39  63  19]
  [ 35  60  16]]

 [[ 26  47  14]
  [ 37  59   9]
  [ 48  54  21]
  ...
  [ 96 101  87]
  [ 35  54  19]
  [ 31  53  15]]

 [[ 24  48  16]
  [ 25  46  15]
  [ 34  43  14]
  ...
  [170 167 174]
  [ 47  55  36]
  [ 29  48  16]]

 ...

 [[132 163  83]
  [149 174 117]
  [166 190 147]
  ...
  [248 134 118]
  [251 149 142]
  [251 135 125]]

 [[150 180 123]
  [144 175 109]
  [148 177 125]
  ...
  [242  97  87]
  [249 135 128]
  [251 135 128]]

 [[141 174 113]
  [133 166  91]
  [124 160  83]
  ...
  [233  73  58]
  [245 129 116]
  [249 138 131]]]",0
131,,0.0
132,"[[[ 44  71  41]
  [ 78  99  74]
  [104 125 102]
  ...
  [135 186 106]
  [ 80 136  58]
  [112 157  79]]

 [[ 76  98  76]
  [105 125 100]
  [123 143 107]
  ...
  [112 170  83]
  [113 165  91]
  [112 158  88]]

 [[108 129 102]
  [108 132  95]
  [114 140 102]
  ...
  [ 97 156  71]
  [161 198 132]
  [118 164 104]]

 ...

 [[163 188 147]
  [167 193 153]
  [152 183 135]
  ...
  [ 99 135  78]
  [137 168 122]
  [102 138  88]]

 [[153 178 140]
  [156 182 140]
  [151 180 132]
  ...
  [105 137  82]
  [135 163 130]
  [ 83 120  75]]

 [[144 168 130]
  [148 174 131]
  [161 187 143]
  ...
  [116 146  93]
  [ 98 131  92]
  [ 59 100  45]]]",0
133,"[[[ 61 105  34]
  [ 67 117  62]
  [ 41  92  38]
  ...
  [ 91 146  36]
  [106 157  46]
  [101 153  38]]

 [[ 57  97  40]
  [ 60 109  42]
  [ 47  88  22]
  ...
  [123 169  56]
  [ 81 136  38]
  [ 64 128  43]]

 [[ 64 112  67]
  [ 49  97  52]
  [ 34  73  20]
  ...
  [139 183  64]
  [117 167  63]
  [ 91 150  72]]

 ...

 [[ 35  57  31]
  [ 23  33  21]
  [ 16  24  14]
  ...
  [ 43  87  21]
  [ 25  71   6]
  [ 27  70   9]]

 [[ 26  52  17]
  [ 20  37  16]
  [ 20  46  21]
  ...
  [ 52  94  31]
  [ 33  70  17]
  [ 28  64  18]]

 [[ 30  62  25]
  [ 25  68  19]
  [ 21  73  17]
  ...
  [ 43  89  19]
  [ 48  92  26]
  [ 62 102  50]]]",0
134,"[[[247 205 148]
  [248 207 149]
  [249 209 148]
  ...
  [116  46   5]
  [128  58  10]
  [137  66  11]]

 [[244 200 143]
  [242 199 144]
  [234 190 134]
  ...
  [117  46   5]
  [119  50   6]
  [124  53   7]]

 [[240 193 137]
  [239 193 138]
  [208 154 100]
  ...
  [115  45   4]
  [118  48   4]
  [126  56   5]]

 ...

 [[197 142  91]
  [196 144  92]
  [202 153  96]
  ...
  [111  69  17]
  [113  69  15]
  [123  77  27]]

 [[195 139  89]
  [194 141  91]
  [201 151  95]
  ...
  [114  71  24]
  [116  71  20]
  [121  76  28]]

 [[188 134  85]
  [194 140  91]
  [200 150  95]
  ...
  [120  75  29]
  [116  71  22]
  [120  75  29]]]",1
135,,1.0
136,,1.0
